Date;Month;Year;Material Supplier;Product Code;Machine;Inspection Type;Defect Type;Defect Mode ;Cause;Type of Cause;Number of Repairs;Inspector;Shift
24/10/2024;Oct;2024;Supplier_1;Product_23;Machine_C;In-process;Visual;SR;Material;Material Failures;1;Inspector_5;Morning_Shift
24/10/2024;Oct;2024;Supplier_1;Product_23;Machine_C;In-process;Visual;DT;Material;Material Failures;1;Inspector_5;Morning_Shift
24/10/2024;Oct;2024;Supplier_2;Product_6;Machine_D;First ;Visual;SR;Mold;Dirty Mold;1;Inspector_10;Morning_Shift
24/10/2024;Oct;2024;Supplier_2;Product_6;Machine_D;First ;Visual;DT;Mold;Dirty Mold;1;Inspector_10;Morning_Shift
24/10/2024;Oct;2024;Supplier_1;Product_23;Machine_C;In-process;Visual;DM;Machine;Setup and Adjustment Machine;6;Inspector_3;Afternoon_Shift
24/10/2024;Oct;2024;Supplier_1;Product_23;Machine_C;In-process;Dimension;JOS;Machine;Setup and Adjustment Machine;6;Inspector_10;Morning_Shift
25/10/2024;Oct;2024;Supplier_1;Product_23;Machine_C;In-process;Dimension;BR;Mold;Mold Failures;1;Inspector_5;Morning_Shift
25/10/2024;Oct;2024;Supplier_2;Product_6;Machine_D;In-process;Visual;PU;Machine;Setup and Adjustment Machine;1;Inspector_5;Morning_Shift
25/10/2024;Oct;2024;Supplier_1;Product_9;Machine_C;First ;Visual;DM;Machine;Setup and Adjustment Machine;4;Inspector_10;Morning_Shift
25/10/2024;Oct;2024;Supplier_1;Product_9;Machine_C;First ;Visual;SR;Mold;Dirty Mold;6;Inspector_4;Afternoon_Shift
25/10/2024;Oct;2024;Supplier_1;Product_9;Machine_C;First ;Dimension;AOS;Machine;Setup and Adjustment Machine;1;Inspector_5;Morning_Shift
25/10/2024;Oct;2024;Supplier_1;Product_9;Machine_C;First ;Visual;DT;Mold;Dirty Mold;7;Inspector_4;Afternoon_Shift
28/10/2024;Oct;2024;Supplier_2;Product_12;Machine_B;First ;Dimension;IOS;Machine;Setup and Adjustment Machine;3;Inspector_5;Morning_Shift
28/10/2024;Oct;2024;Supplier_2;Product_12;Machine_B;First ;Visual;CP;Mold;Mold Failures;1;Inspector_1;Afternoon_Shift
28/10/2024;Oct;2024;Supplier_2;Product_2;Machine_A;In-process;Visual;DT;Mold;Dirty Mold;1;Inspector_1;Afternoon_Shift
28/10/2024;Oct;2024;Supplier_2;Product_12;Machine_B;First ;Dimension;IOS;Machine;Setup and Adjustment Machine;2;Inspector_4;Midnight_Shift
28/10/2024;Oct;2024;Supplier_2;Product_12;Machine_B;First ;Dimension;COS;Mold;Mold Failures;2;Inspector_4;Midnight_Shift
28/10/2024;Oct;2024;Supplier_2;Product_12;Machine_B;First ;Visual;PU;Machine;Setup and Adjustment Machine;3;Inspector_3;Midnight_Shift
29/10/2024;Oct;2024;Supplier_2;Product_12;Machine_B;First ;Visual;SR;Mold;Dirty Mold;1;Inspector_10;Morning_Shift
29/10/2024;Oct;2024;Supplier_2;Product_12;Machine_B;First ;Visual;MR;Mold;Dirty Mold;1;Inspector_10;Morning_Shift
29/10/2024;Oct;2024;Supplier_1;Product_10;Machine_E;First ;Visual;SR;Mold;Dirty Mold;3;Inspector_10;Morning_Shift
29/10/2024;Oct;2024;Supplier_1;Product_10;Machine_E;First ;Visual;DT;Mold;Dirty Mold;4;Inspector_10;Morning_Shift
29/10/2024;Oct;2024;Supplier_2;Product_12;Machine_B;In-process;Visual;DT;Mold;Dirty Mold;1;Inspector_10;Morning_Shift
29/10/2024;Oct;2024;Supplier_2;Product_12;Machine_B;In-process;Visual;SR;Mold;Dirty Mold;3;Inspector_10;Morning_Shift
29/10/2024;Oct;2024;Supplier_2;Product_12;Machine_B;In-process;Visual;DT;Mold;Dirty Mold;1;Inspector_1;Afternoon_Shift
29/10/2024;Oct;2024;Supplier_2;Product_12;Machine_B;In-process;Visual;DT;Mold;Dirty Mold;3;Inspector_4;Midnight_Shift
29/10/2024;Oct;2024;Supplier_2;Product_12;Machine_B;In-process;Visual;SR;Mold;Dirty Mold;1;Inspector_4;Midnight_Shift
30/10/2024;Oct;2024;Supplier_2;Product_6;Machine_D;Outgoing;Visual;EPH;Human Error;Lain-Lain;1;Inspector_5;Morning_Shift
30/10/2024;Oct;2024;Supplier_2;Product_12;Machine_B;In-process;Visual;DT;Mold;Dirty Mold;1;Inspector_4;Midnight_Shift
31/10/2024;Oct;2024;Supplier_2;Product_2;Machine_A;In-process;Visual;DT;Mold;Dirty Mold;5;Inspector_10;Morning_Shift
31/10/2024;Oct;2024;Supplier_1;Product_9;Machine_C;First ;Visual;DM;Machine;Setup and Adjustment Machine;6;Inspector_10;Morning_Shift
31/10/2024;Oct;2024;Supplier_1;Product_9;Machine_C;First ;Visual;JOS;Machine;Setup and Adjustment Machine;6;Inspector_10;Morning_Shift
31/10/2024;Oct;2024;Supplier_2;Product_12;Machine_B;In-process;Visual;DT;Mold;Dirty Mold;2;Inspector_10;Morning_Shift
31/10/2024;Oct;2024;Supplier_2;Product_12;Machine_B;In-process;Visual;DM;Mold;Dirty Mold;3;Inspector_10;Morning_Shift
31/10/2024;Oct;2024;Supplier_2;Product_12;Machine_B;In-process;Visual;SR;Mold;Dirty Mold;1;Inspector_10;Morning_Shift
31/10/2024;Oct;2024;Supplier_2;Product_8;Machine_A;First ;Visual;BR;Mold;Mold Failures;1;Inspector_1;Afternoon_Shift
31/10/2024;Oct;2024;Supplier_2;Product_8;Machine_A;First ;Dimension;IOS;Machine;Setup and Adjustment Machine;8;Inspector_4;Midnight_Shift
31/10/2024;Oct;2024;Supplier_2;Product_8;Machine_A;First ;Visual;PU;Machine;Setup and Adjustment Machine;8;Inspector_4;Midnight_Shift
01/11/2024;Nov;2024;Supplier_2;Product_12;Machine_B;In-process;Visual;DT;Mold;Dirty Mold;1;Inspector_10;Morning_Shift
01/11/2024;Nov;2024;Supplier_2;Product_8;Machine_A;First ;Visual;SR;Mold;Dirty Mold;3;Inspector_5;Morning_Shift
01/11/2024;Nov;2024;Supplier_2;Product_8;Machine_A;First ;Visual;DM;Mold;Dirty Mold;3;Inspector_5;Morning_Shift
01/11/2024;Nov;2024;Supplier_2;Product_8;Machine_A;First ;Visual;DT;Mold;Dirty Mold;1;Inspector_1;Afternoon_Shift
04/11/2024;Nov;2024;Supplier_2;Product_12;Machine_B;In-process;Visual;DT;Mold;Dirty Mold;1;Inspector_5;Morning_Shift
04/11/2024;Nov;2024;Supplier_2;Product_8;Machine_A;In-process;Visual;DT;Mold;Dirty Mold;1;Inspector_7;Morning_Shift
04/11/2024;Nov;2024;Supplier_2;Product_7;Machine_E;First ;Visual;DT;Mold;Dirty Mold;8;Inspector_4;Afternoon_Shift
